X = 10	Y = 1	Z = 79
X = 12	Y = 1	Z = 77
X = 14	Y = 1	Z = 75
X = 14	Y = 1	Z = 75
X = 15	Y = 1	Z = 74
X = 16	Y = 1	Z = 73
X = 17	Y = 1	Z = 72
X = 18	Y = 1	Z = 71
X = 18	Y = 1	Z = 71
X = 18	Y = 1	Z = 70
X = 18	Y = 1	Z = 70
X = 18	Y = 1	Z = 70
X = 19	Y = 0	Z = 70
X = 18	Y = 1	Z = 70
X = 20	Y = 1	Z = 69
X = 20	Y = 1	Z = 69
X = 19	Y = 1	Z = 70
X = 20	Y = 0	Z = 69
X = 20	Y = 1	Z = 69
X = 19	Y = 1	Z = 70
X = 19	Y = 1	Z = 70
X = 20	Y = 1	Z = 69
X = 20	Y = 1	Z = 69
X = 20	Y = 1	Z = 69
X = 20	Y = 1	Z = 68
X = 20	Y = 1	Z = 68
X = 20	Y = 1	Z = 68
X = 20	Y = 1	Z = 68
X = 21	Y = 1	Z = 68
X = 21	Y = 1	Z = 68
X = 20	Y = 1	Z = 68
X = 20	Y = 1	Z = 68
X = -11	Y = 0	Z = 78
X = -13	Y = 0	Z = 76
X = -14	Y = 0	Z = 75
X = -15	Y = 0	Z = 74
X = -16	Y = 0	Z = 73
X = -16	Y = 0	Z = 73
X = -16	Y = 0	Z = 73
X = -17	Y = 0	Z = 72
X = -18	Y = 0	Z = 71
X = -18	Y = 0	Z = 71
X = -18	Y = 0	Z = 71
X = -19	Y = 0	Z = 70
X = -21	Y = 0	Z = 68
X = -21	Y = 0	Z = 68
X = -21	Y = 0	Z = 68
X = -21	Y = 0	Z = 68
X = -22	Y = 0	Z = 67
X = -23	Y = 0	Z = 66
X = -23	Y = 0	Z = 66
X = -23	Y = 0	Z = 66
X = -25	Y = 0	Z = 64
X = -26	Y = 0	Z = 63
X = -27	Y = 0	Z = 62
X = -27	Y = 0	Z = 62
X = -27	Y = 0	Z = 62
X = -28	Y = 0	Z = 61
X = -28	Y = 0	Z = 61
X = -29	Y = 0	Z = 60
X = -29	Y = 0	Z = 60
X = -27	Y = 0	Z = 62
X = -26	Y = 0	Z = 63
X = -26	Y = 0	Z = 63
X = 20	Y = 0	Z = 69
X = 26	Y = 0	Z = 63
X = 23	Y = 0	Z = 66
X = 21	Y = 0	Z = 68
X = 22	Y = 0	Z = 67
X = 21	Y = 0	Z = 68
X = 22	Y = 0	Z = 67
X = 22	Y = 0	Z = 67
X = 21	Y = 0	Z = 68
X = 22	Y = 0	Z = 67
X = 22	Y = 0	Z = 67
X = 22	Y = 0	Z = 67
X = 21	Y = 0	Z = 68
