X = 2	Y = 6	Z = 83
X = 3	Y = 7	Z = 81
X = 3	Y = 7	Z = 81
X = 2	Y = 7	Z = 82
X = 3	Y = 8	Z = 80
X = 3	Y = 9	Z = 79
X = 3	Y = 8	Z = 80
X = 4	Y = 7	Z = 81
X = 3	Y = 7	Z = 81
X = 3	Y = 8	Z = 80
X = 1	Y = 7	Z = 82
X = 5	Y = 8	Z = 79
X = 2	Y = 9	Z = 80
X = 1	Y = 9	Z = 80
X = 1	Y = 9	Z = 80
X = 0	Y = 9	Z = 80
X = 0	Y = 9	Z = 80
X = 0	Y = 9	Z = 80
X = 1	Y = 9	Z = 80
X = 1	Y = 8	Z = 81
X = 1	Y = 7	Z = 81
X = 2	Y = 9	Z = 79
X = 1	Y = 9	Z = 79
X = 1	Y = 9	Z = 79
X = 1	Y = 9	Z = 80
X = 2	Y = 8	Z = 81
X = 2	Y = 8	Z = 81
X = 2	Y = 8	Z = 81
X = 1	Y = 8	Z = 81
X = 1	Y = 8	Z = 81
X = 1	Y = 9	Z = 80
X = 1	Y = 10	Z = 79
X = 1	Y = 10	Z = 79
X = 1	Y = 11	Z = 78
X = 1	Y = 10	Z = 79
X = 1	Y = 10	Z = 79
X = 1	Y = 10	Z = 78
X = 1	Y = 10	Z = 78
X = 1	Y = 10	Z = 78
X = 1	Y = 10	Z = 78
X = 0	Y = 12	Z = 77
X = 1	Y = 11	Z = 78
X = 1	Y = 10	Z = 78
X = 1	Y = 10	Z = 78
X = 1	Y = 10	Z = 79
X = 1	Y = 10	Z = 79
X = 1	Y = 10	Z = 79
X = 0	Y = 10	Z = 79
X = 1	Y = 10	Z = 79
X = 1	Y = 9	Z = 80
X = 1	Y = 10	Z = 79
X = 1	Y = 10	Z = 79
X = 1	Y = 10	Z = 79
X = 1	Y = 10	Z = 79
X = 1	Y = 10	Z = 79
X = 1	Y = 10	Z = 79
X = 1	Y = 10	Z = 78
X = 1	Y = 10	Z = 79
X = 1	Y = 9	Z = 80
X = 1	Y = 9	Z = 80
X = 1	Y = 10	Z = 79
X = 1	Y = 10	Z = 78
X = 1	Y = 9	Z = 79
X = 1	Y = 10	Z = 79
X = 1	Y = 10	Z = 79
X = 2	Y = 7	Z = 82
X = 1	Y = 12	Z = 77
X = 3	Y = 10	Z = 78
