X = 13	Y = -7	Z = 74
X = 9	Y = -1	Z = 80
X = 10	Y = 0	Z = 79
X = 11	Y = -1	Z = 78
X = 14	Y = -1	Z = 75
X = 16	Y = -1	Z = 73
X = 15	Y = -1	Z = 73
X = 18	Y = -1	Z = 71
X = 20	Y = -1	Z = 69
X = 20	Y = -1	Z = 68
X = 20	Y = -1	Z = 69
X = 20	Y = 0	Z = 69
X = 21	Y = 0	Z = 68
X = 21	Y = -1	Z = 68
X = 20	Y = 0	Z = 69
X = 20	Y = 0	Z = 69
X = 21	Y = -1	Z = 68
X = 21	Y = -2	Z = 68
X = 20	Y = -1	Z = 69
X = 19	Y = -1	Z = 70
X = 19	Y = -2	Z = 69
X = 19	Y = -1	Z = 70
X = 20	Y = -2	Z = 68
X = 20	Y = -1	Z = 68
X = 19	Y = -1	Z = 70
X = 20	Y = -1	Z = 69
X = 20	Y = -1	Z = 69
X = 19	Y = 0	Z = 70
X = 20	Y = 0	Z = 69
X = 20	Y = -1	Z = 69
X = 18	Y = -1	Z = 71
X = 18	Y = -1	Z = 71
X = 18	Y = -1	Z = 70
X = 20	Y = -2	Z = 69
X = 19	Y = -2	Z = 69
X = 20	Y = -2	Z = 69
X = 19	Y = -2	Z = 69
X = 19	Y = -1	Z = 70
X = 20	Y = -1	Z = 69
X = 18	Y = 0	Z = 70
X = 19	Y = -1	Z = 70
X = 20	Y = 0	Z = 69
X = 19	Y = 0	Z = 70
X = 20	Y = -1	Z = 69
X = 18	Y = 0	Z = 70
X = 20	Y = -1	Z = 69
X = 20	Y = -2	Z = 69
X = 20	Y = -2	Z = 69
X = 19	Y = -1	Z = 70
X = 18	Y = -2	Z = 70
X = 18	Y = -2	Z = 70
X = 18	Y = -1	Z = 71
X = 18	Y = 0	Z = 70
X = 20	Y = -1	Z = 68
X = 20	Y = 0	Z = 69
X = 20	Y = 0	Z = 69
X = 20	Y = -1	Z = 68
X = 21	Y = -1	Z = 68
X = 20	Y = 0	Z = 69
X = 20	Y = -1	Z = 69
X = 20	Y = -1	Z = 69
X = 20	Y = -1	Z = 69
X = 20	Y = -1	Z = 69
X = 20	Y = -2	Z = 69
X = 19	Y = -1	Z = 70
X = 19	Y = -1	Z = 70
X = 19	Y = -2	Z = 69
X = 20	Y = -1	Z = 68
X = 19	Y = 0	Z = 70
X = 19	Y = 0	Z = 70
X = 19	Y = -1	Z = 70
X = 19	Y = -1	Z = 70
X = 19	Y = 0	Z = 70
