X 	 Y 	 Z 	 Safe Angle

40	22	41	-37.728943
-4	15	73	6.473992
-12	8	74	32.55003
18	11	67	-34.850483
29	11	57	-48.28687
-19	7	68	49.11435
-11	-1	78	-77.94083
-14	0	75	90.0
-16	0	73	90.0
-14	-2	75	-71.44237
-15	1	74	81.09604
12	0	77	-90.0
-29	6	59	64.07067
22	-1	67	83.90289
28	-4	60	71.44237
16	-4	72	59.565777
21	-3	68	71.44237
10	2	79	-64.826485
-16	14	67	25.934711
22	-5	66	61.89374
18	-6	70	51.927235
-12	11	72	24.901543
27	-5	62	66.48205
-12	9	74	29.56956
15	4	73	-57.926014
-12	16	68	17.700459
10	0	79	-90.0
14	-2	75	71.44237
13	0	76	-90.0
15	-4	74	57.926014
16	-2	73	73.62986
-10	12	73	19.525042
15	-6	72	46.771492
15	-8	72	38.58542
17	-4	72	61.06
-17	6	71	50.327305
16	-3	73	66.22052
17	-6	71	50.327305
-17	2	72	74.54545
21	-7	67	51.927235
-15	9	71	35.345047
23	-6	65	58.489906
-23	8	65	50.73775
-10	5	78	40.399925
-19	6	69	53.42071
16	-4	73	59.565777
-18	11	68	34.850483
20	-6	68	54.816177
-17	8	70	42.121655
18	-7	69	47.576176
-11	-4	77	-49.484623
-10	-1	79	-76.77545
29	5	59	-67.94357
-15	-6	73	-46.771492
35	20	47	-36.674374
32	20	50	-34.249058
-12	1	77	78.91981
23	15	61	-33.12376
20	18	62	-25.305431
37	22	43	-35.590084
-2	20	69	2.4366858
-4	23	65	4.232527
-19	14	65	30.006788
32	26	45	-27.642498
-14	3	75	63.271492
34	3	55	-78.28556
21	7	66	-51.927235
11	7	76	-33.770397
-10	6	77	35.345047
26	5	63	-65.6807
13	4	75	-54.13019
-16	6	72	48.611904
18	4	71	-62.42545
-16	8	71	40.399925
-13	8	73	34.66347
19	4	69	-63.676716
-11	7	76	33.770397
11	4	77	-49.484623
10	5	77	-40.399925
-19	6	69	53.42071
18	3	71	-68.61139
18	6	70	-51.927235
-11	7	75	33.770397
11	6	76	-37.959305
-10	7	76	31.295559
18	6	70	-51.927235
-16	6	71	48.611904
18	6	70	-51.927235
-11	7	75	33.770397
18	7	69	-47.576176
-11	2	78	66.86431
27	1	62	-85.02568
10	6	77	-35.345047
20	8	68	-46.771492
-12	1	77	78.91981
22	8	66	-49.484623
18	6	70	-51.927235
22	4	67	-66.86431
-15	2	73	72.60249
18	3	71	-68.61139
-12	4	76	51.927235
21	5	67	-60.77196
18	5	70	-56.864403
-15	5	73	51.927235
22	6	66	-57.343834
-11	5	76	43.11183
-17	2	72	74.54545
27	6	61	-62.42545
-16	5	72	53.707386
25	7	63	-56.6551
-15	7	72	42.360275
21	7	66	-51.927235
27	5	61	-66.48205
-17	3	72	67.47594
17	4	72	-61.06
29	5	60	-67.94357
24	6	64	-59.565777
25	7	63	-56.6551
-11	6	76	37.959305
16	5	72	-53.707386
-11	2	78	66.86431
17	2	72	-74.54545
-16	2	73	73.62986
17	3	71	-67.47594
-14	4	74	56.121475
17	5	71	-55.348698
16	4	72	-59.565777
20	5	68	-59.565777
-11	5	77	43.11183
17	7	70	-45.942017
-13	7	74	38.31841
-11	10	74	25.08362
16	3	72	-66.22052
10	5	78	-40.399925
17	1	72	-82.129585
14	5	74	-49.99376
-10	4	78	46.771492
16	5	72	-53.707386
20	7	68	-50.56272
1	15	74	-1.6250142
0	15	74	Safe
0	15	74	Safe
9	15	71	-14.322752
14	-1	75	80.47133
-15	1	74	81.09604
14	3	75	-63.271492
12	1	77	-78.91981
11	-8	75	30.332201
-11	14	71	18.487211
14	-3	74	63.271492
-12	13	72	21.444864
14	-2	75	71.44237
16	-7	71	44.205524
-15	13	68	26.150991
14	-8	73	36.674374
-12	-2	77	-68.61139
-11	-3	77	-57.343834
-17	-7	70	-45.942017
-10	-5	78	-40.399925
-13	-7	74	-38.31841
-10	-6	77	-35.345047
10	9	75	-25.305431
-21	-10	66	-41.784534
-14	-4	74	-56.121475
-16	-6	72	-48.611904
13	2	76	-70.12314
-22	-1	67	-83.90289
20	3	69	-70.58245
23	5	65	-62.938904
22	5	67	-61.89374
-14	3	74	63.271492
34	6	54	-67.47594
-14	4	74	56.121475
24	4	64	-68.61139
14	6	74	-44.796124
-16	4	72	59.565777
16	6	72	-48.611904
-13	2	75	70.12314
11	4	77	-49.484623
11	6	77	-37.959305
-15	2	73	72.60249
23	8	65	-50.73775
-17	4	71	61.06
18	7	70	-47.576176
-10	3	79	54.816177
22	7	66	-53.21355
-14	3	74	63.271492
11	5	77	-43.11183
-17	3	72	67.47594
20	6	68	-54.816177
-15	5	73	51.927235
21	7	67	-51.927235
20	6	68	-54.816177
-13	4	75	54.13019
-20	5	68	59.565777
29	7	59	-60.436314
-15	4	73	57.926014
19	6	69	-53.42071
28	6	60	-63.271492
-17	3	71	67.47594
11	5	76	-43.11183
11	7	76	-33.770397
-24	4	65	68.61139
11	6	76	-37.959305
-22	3	67	72.23171
13	5	75	-47.89129
-22	4	66	66.86431
15	7	72	-42.360275
-20	3	68	70.58245
21	6	67	-56.121475
-18	8	69	43.754654
13	8	73	-34.66347
12	4	76	-51.927235
-15	3	73	64.826485
12	6	76	-40.399925
-10	7	77	31.295559
18	8	69	-43.754654
23	8	65	-50.73775
-15	7	72	42.360275
13	10	73	-28.951021
12	6	75	-40.399925
-16	7	71	44.205524
-16	-7	72	-44.205524
24	13	61	-38.153107
15	17	66	-20.579649
14	8	73	-36.674374
-16	-3	73	-66.22052
15	10	71	-32.550026
17	3	71	-67.47594
-17	2	71	74.54545
14	7	73	-40.399925
20	11	66	-37.728943
-16	0	73	90.0
20	10	67	-40.399925
-14	0	75	90.0
14	11	71	-28.439386
14	11	71	-28.439386
10	14	71	-16.906754
-19	-1	70	-82.94923
16	10	70	-34.249058
-11	7	76	33.770397
16	8	71	-40.399925
-14	8	73	36.674374
20	10	67	-40.399925
12	5	76	-45.60311
-10	1	79	76.77545
16	7	71	-44.205524
14	13	70	-24.620365
-10	2	78	64.826485
13	7	74	-38.31841
-12	5	76	45.60311
13	7	74	-38.31841
-17	8	70	42.121655
11	5	76	-43.11183
-18	7	69	47.576176
-14	8	72	36.674374
15	4	73	-57.926014
-18	8	69	43.754654
19	6	69	-53.42071
-17	10	69	35.88216
20	4	68	-64.826485
-18	7	69	47.576176
23	6	65	-58.489906
-17	7	70	45.942017
19	6	69	-53.42071
26	6	62	-61.528694
-11	4	78	49.484623
19	5	69	-58.266495
-35	4	54	74.96675
21	-7	67	51.927235
-21	12	65	36.674374
25	2	64	-79.35268
-20	13	65	33.21137
28	-2	61	80.47133
-18	8	68	43.754654
-24	6	64	59.565777
11	-2	77	66.86431
-17	7	70	45.942017
24	-7	64	55.572628
-11	7	76	33.770397
23	-1	66	84.166115
28	0	61	-90.0
-19	17	63	25.435534
18	0	71	-90.0
-16	12	69	29.56956
26	0	63	-90.0
-19	14	65	30.006788
29	3	60	-76.33626
-24	19	57	28.25868
23	5	65	-62.938904
-24	17	58	30.995409
24	0	65	-90.0
-22	14	62	33.770397
19	-1	70	82.94923
-28	13	58	42.50622
15	1	74	-81.09604
-13	13	70	23.05133
-23	18	59	28.53451
23	0	66	-90.0
-25	17	58	32.03763
20	2	69	-76.77545
-32	16	52	40.399925
17	1	72	-82.129585
-15	15	67	23.05133
-15	11	70	30.125368
-23	15	61	33.12376
14	5	74	-49.99376
-28	17	55	35.025723
-10	9	75	25.305431
20	0	69	-90.0
-19	16	63	26.808372
25	-4	64	69.393745
-17	14	67	27.32621
16	0	73	-90.0
-15	13	69	26.150991
-19	13	65	31.878798
-13	10	73	28.951021
-19	13	65	31.878798
-16	8	70	40.399925
-12	8	74	32.55003
15	3	74	-64.826485
-22	14	62	33.770397
25	0	64	-90.0
-14	13	69	24.620365
-13	14	70	21.56083
22	0	67	-90.0
-16	13	68	27.642498
12	1	77	-78.91981
-12	10	73	27.050623
12	2	77	-68.61139
22	0	67	-90.0
-11	10	74	25.08362
-24	14	60	36.11015
-17	13	67	29.094425
11	3	78	-57.343834
-18	14	66	28.683647
-34	20	48	35.88216
13	1	76	-79.75335
-36	18	47	40.399925
-23	15	61	33.12376
29	0	60	-90.0
-18	16	64	25.581556
-39	20	43	39.685474
29	1	60	-85.36719
-19	15	64	28.325008
-18	15	65	27.050623
16	5	72	-53.707386
-30	15	54	40.399925
-27	18	55	32.55003
-20	15	63	29.569557
-14	15	68	21.66118
21	4	67	-65.88581
-32	20	49	34.249058
25	0	64	-90.0
-14	16	67	20.422363
-13	16	68	19.072586
14	4	75	-56.121475
-18	16	65	25.581556
-26	17	57	33.05665
26	1	62	-84.83538
-28	15	57	38.46106
11	0	78	-90.0
-15	10	71	32.550026
34	-2	55	82.129585
-15	15	67	23.05133
23	-3	66	72.958565
-19	19	61	23.05133
25	-8	62	53.05685
-34	25	44	30.058998
29	-1	60	85.36719
-18	18	62	23.05133
-38	17	45	43.56701
18	4	70	-62.42545
-15	20	63	17.700459
30	-2	58	81.09604
